"","Comentario"
"170","El pantalón que llegó es muy diferente al de la fotografía, tiene otro color y otro calce... una decepción."
"171","Compre en color azul y me gusto mucho, buen calce, soy talla 36 y quedo perfecto, el tema que sea recto le suma"
"172","Mido 1,64 y me llega el pantalón hasta el tobillo, igual como se ve en la foto. Pedí talla 38 y me quedo muy bien! ( es elasticado)
<U+2714> Sí, recomiendo este producto."
"173","Compre el jeans clarito, es muy hermoso y a mi parecer es muy elasticado yo suelo ser talla 42-44 dependiendo marca y el modelo, en este caso pedi 44 guiandome por los comentarios ya que soy relativamente alta y caderona, pero como son elasticados el 42 me habria quedado bien porque dan bastante.
<U+2714> Sí, recomiendo este producto."
"174","Lo pedi en talla 36 y me quedo perfecto, esperaba que quedara un poco mas cortito pero la verdad yo igual soy bajita así que todo perfecto, recomendable ya que se puede usar con todo tipo de prenda!
<U+2714> Sí, recomiendo este producto."
"175","Mido 1,73 y pedí mi talla normal, 38, me quedó bien, de largo igual que en la foto"
"176","Tela de buen grosor, me gusta el calce que tiene y la talla corresponde.
Me queda un poco largo, pero es porque soy bajita.
<U+2714> Sí, recomiendo este producto."
"177","Compre el azul en talla 40 y me quedaron perfectos, muy lindos y cómodos! Pedir la talla que corresponde son elásticados y la basta me llega hasta los tobillos, mido 1.63
<U+2714> Sí, recomiendo este producto."
"178","Es muy cómodo, pedí talla 40 y quedó perfecto y el largo también, lo recomiendo, además llegó en la fecha indicada, lo recomiendo
<U+2714> Sí, recomiendo este producto."
"179","Lo compré en 38 y me quedó apretado, el 38 es más un 36, peso 53kg"
"180","Ya tenía este jeans en color azul y me encanta, y ahora lo pedí en negro pero en 38 porque en 36 me queda bien pero un poco apretado. Lo malo es que aunque pedí 38 parece que fuera 36 eso que es el mismo modelo que el de color azul. Espero que con el uso se suelte más :(
<U+2714> Sí, recomiendo este producto."
"181","Mido 173 me quedo perfecto de largo."
"182","Me gustó, pedí mi talla 38 cómo siempre en está marca y me quedó apretado ,creo volveré a pedir pero una talla más.
<U+2714> Sí, recomiendo este producto."
"183","Es correcto en su talla, elasticado y cómodo, eso sí es largo. Lo recomiendo para chicas medianas-altas o para ocupar con zapatos altos.
<U+2714> Sí, recomiendo este producto."
"184","Compre hace un mes los jeans azules en talla 38 el que uso normalmente y quede encantada y por eso compre hace un par de días los negros en la misma talla pero son mas ajustados el 38 es como talla 36, debí comprar los negros en T/40 y me quedaron perfectos.
Tiro alto, cómodos, hermosos, se pueden usar con botines y quedan hermosos, llega hasta el tobillo, mido 1,63."
"185","Muy bello ajusta al cuerpo y es largo de pierna así que ideal para chicas altas
<U+2714> Sí, recomiendo este producto."
"186","Me compre el 38 que es mi talla en negro y me quedo perfecto, es elásticado y muy lindo!
<U+2714> Sí, recomiendo este producto."
"187","Le compré el negro a mí hija, le encantó así que le compré el azul y está feliz .
Buena calidad y no son apitillados lo mejor dice mi hija ya que son muy cómodos de usar
<U+2714> Sí, recomiendo este producto."
"188","Compre el azul, y es muy dócil, elasticado y cómodo, soy 38/40, compre el 40 y me quedo súper !! Lo recomiendo
<U+2714> Sí, recomiendo este producto."
"189","Es hermoso, un poco corto mido 1.69, pero tal cual la foto.
<U+2714> Sí, recomiendo este producto."
"190","el modelo queda hermoso, lo malo es que me quedaron justos, recomiendo ir una talla más grande (compré en color negro)
<U+2714> Sí, recomiendo este producto."
"191","Mido 1.60 y me queda un poco largo nada que no se pueda solucionar con unos buenos zapatos, me llega arriba del ombligo y queda muy lindo pegado al cuerpo, lo ame
<U+2714> Sí, recomiendo este producto."
"192","Es muy lindo , la calidad de la tela buena ,no es delgada ,lo que si me paso es que me quedo muy corto yo mido 1,77 y me llega sobre el tobillo , pero con un zapato acordé quedará bien.
<U+2714> Sí, recomiendo este producto."
"193","No se demoró nada en llegar, elasticado, quedo perfecto y el color igual al de la foto
<U+2714> Sí, recomiendo este producto."
"194","Me llego muy rapido en el tiempo que me dijeron, el jeans es igual a la foto azul precioso y elásticado tiene un buen calce recto y yo mido 1.52 y me quedo largo pero arreglandolo perfecto
<U+2714> Sí, recomiendo este producto."
"195","Es muy precioso el color azul ,demasiado elásticado, funciona muy bien con todo ,recomendado totalmente
<U+2714> Sí, recomiendo este producto."
"196","Se adapta muy bien al cuerpo, hay que comprar la talla que se usa normalmente
<U+2714> Sí, recomiendo este producto."
"197","Es idéntico a la foto, compre el azul en talla 38 que uso normalmente y me quedo genial...es tiro alto así que acomoda bastante para ese rollito porfiado.
Lo recomiendo
<U+2714> Sí, recomiendo este producto."
"198","Es muy lindo y queda bien, lo que si la etiqueta decía straight, Olivia, soy talla 36 y me quedó súper cómodo! Se ve muy bien"
"199","Es igual al de la foto, apretado en el trasero y suelto abajo, muy lindo, me encanto <U+2661>
<U+2714> Sí, recomiendo este producto."
"200","Me compré los dos colores, son demasiado cómodos y me encanta que sean rectos, soy 38 y compré de esa talla, y me quedaron súper
<U+2714> Sí, recomiendo este producto."
"201","Tienen buen calce. Son buenos, bonitos y baratos BBB. Recomendados 100%.
<U+2714> Sí, recomiendo este producto."
"202","me encantaron!, quedan hermoso!, aparte que son muy cómodos.
<U+2714> Sí, recomiendo este producto."
"203","Compré el negro en 42 muy lindo, se ajusta bien al cuerpo, la talla es la correcta pero muuuuy pelusiento no lo recomiendo"
"204","Tengo ambos colores, ambos son muy comodos, tiro alto, quedan muy lindos. yo mido 1.60 y me quedan bien de largo no me tapa la zapatilla y los puedo usar con algunos botines.
No le doy las 5 estrellas solo por que el negro tiene un olor a azufre muy fuerte, ya lo he lavado 3 veces y aun no logro que se quite, y es de ese tipo de jeans que atrapa un poco de pelusas, nada excesivo. Aun así son de mis preferidos.
<U+2714> Sí, recomiendo este producto."
"205","Son super elasticados y de tiro alto. Yo pedi mi talla de siempre y quedan perfectos. Soy talla 42, mido 1,68 y peso 70 kilos
<U+2714> Sí, recomiendo este producto."
"206","Hermosos y cómodos quedan genial con zapatillas o botines me encantaron
<U+2714> Sí, recomiendo este producto."
"207","Los compré en azul talla 38 el modelo es elasticado y tiene buen calce, no le pongo 5 estrellas porque lo encontré corto mido 1.64 y me quedaron justo en los tobillos"
"208","Compré el azul en la talla que regularmente uso y el calce es perfecto. Es más ancho en la parte de abajo de lo que se ve en la foto, pero solo un poco. También un poquito más oscuro a mi parecer. Muy cómodos, buena compra.
<U+2714> Sí, recomiendo este producto."
"209","Me encantaron!!!, buen elasticado, livianos, muy flexibles, talla calce perfecta, lo mejor que llegan a la cintura y no sale ese rollito rebelde....ojo que si mides más de 1.65 te quedará sobre el tobillo, yo mido 1.60 talla 38, que quedaron súper!!! Los recomiendo ...
<U+2714> Sí, recomiendo este producto."
"210","La tela es gruesa y elasticada, tiene calce perfecto! Se ve muy bonito y es tal cual como aparece en la imagen
<U+2714> Sí, recomiendo este producto."
"211","Son esquisitos, la tela super comoda y son preciosos. Son el mejor pantalón que tengo
<U+2714> Sí, recomiendo este producto."
"212","Me compré el jeans azul y me quedó perfecto en mi talla habitual (36), yo mido 1,72 y me queda un poco corto, pero se ve bien así!
<U+2714> Sí, recomiendo este producto."
"213","Compré color negro y me quedaron perfectos. Generalmente compro talla 36 en esta marca y me quedaron súper bien. Son tiro alto, el calce queda súper bien y se ven súper lindos!
<U+2714> Sí, recomiendo este producto."
"214","Pedí mi talla normal y me quedo perfecto."
"215","Me compré el celeste y el negro, el celeste muy cómodo y elasticado y el negro tela gruesa y muy elasticado, lo malo es la tela ya que se notan todas las pelusas, pero es cómodo estilo mom.
<U+2714> Sí, recomiendo este producto."
"216","Me compre el celeste, quedan muy cómodos ideal para días de cuarentena y dejar los buzos, son elasticados, talla 38 y calza bien, los recomiendo.
<U+2714> Sí, recomiendo este producto."
"217","Muy cómodo y buen calce. El alto del tiro y push up permiten acentuar bien las curvas
<U+2714> Sí, recomiendo este producto."
"218","Son igual a la foto , mido 1,63 y me quedo un poco largo ... la tela es gruesa elásticada, yo soy talla 38 y me quedaron bien los 38 en color negro , son angostos en la cintura yo tengo 62cm y va bien ) . Es el modelo OLIVIA tradicional"
"219","Tal como en la descripción y en la foto. Compré los azules y calzan perfecto, además lucen de muy buena calidad. La talla se condice con la que compro usualmente y no quedan largos. Perfecta alternativa si no quieres unos pitillos pero si unos jeans que se luzcan bien y no sean pata elefante.
<U+2714> Sí, recomiendo este producto."
"220","Bonito calce, compre el azul en mi talla habitual (38) y me quedó perfecto. Es elasticado y de tiro alto, muy cómodo.
La parte de arriba es ajustada pero se acomoda bien al cuerpo al ser elasticado.
De largo queda bien también, yo mido 1.72 y me quedan justos de largo.
Tiene bolsillos delanteros.
<U+2714> Sí, recomiendo este producto."
"221","Son muy cómodos su clase es perfecto y son dr buena calidad con un estilo clásico. Y lo mejor es su precio
<U+2714> Sí, recomiendo este producto."
"222","son elasticos y super comodos,la talla me quedo super bien
<U+2714> Sí, recomiendo este producto."
"223","Compré este modelo en ambos colores (azul y negro), son súper cómodos. Los compré en mi talla normal, el pantalón negro me quedó un poco más ajustado. En cuanto al diseño, es muy lindo. Es tiro alto, lo cual lo hace más cómodo. Lo que sí, en la foto se ve más recto, pero en realidad es un poco más ancho en la parte de abajo, pero no es excesivo.
Lo recomiendo.
<U+2714> Sí, recomiendo este producto."
"224","Acaba de llegar y es muy comodo, lo pedi en mi talla 38 y quedo perfecto, es un modelo recto.
<U+2714> Sí, recomiendo este producto."
"225","tengo el celeste en 36 y muy lindo y comodo, pero me pedi el negro en 36 y me quedo justo y apretado, tuve que cambiarlo.. asique recomiendo pedir una talla mas en color negro
<U+2714> Sí, recomiendo este producto."
"226","Me encanto!! el modelo queda muy bien, es muy cómodo y llego súper rápido
<U+2714> Sí, recomiendo este producto."
"227","Me gusto mucho el jeans. Lo compré hace unos días, me llegó hoy y me lo probé de inmediato. Soy talla 38 y me quedo perfecto, la tela es suave y elasticada, lo mejor no es pitillo. Lo recomiendo para quienes no quieren seguir modas de pitillo y buscan algo lindo de tiro alto.
<U+2714> Sí, recomiendo este producto."
"228","Me lo compré hace tiempo en el color azul y es muy cómodo! Me pediré el negro también !
<U+2714> Sí, recomiendo este producto."
"229","Es elásticado, tiro alto y bien cómodo
<U+2714> Sí, recomiendo este producto."
"230","Me compre el azul y lo encontré muy bueno elasticado y se ajusta al cuerpo me lo compre en mi talla normal
<U+2714> Sí, recomiendo este producto."
"231","me ha servido mucho para trabajar, es flexible, super comodo, y no se ve la figura tan pronunciada, facil de abrochar y a la medida
<U+2714> Sí, recomiendo este producto."
"232","Quedan muy mal, el jeans se salva, pero el negro no.... yo soy 38-40, el 38 muy apretado y el 40 muy suelto ademas las diferencia de uno y otro es demasiada, como si fuera un 42, en fin son elasticados pero se arrugan mucho en la parte del muslo, jamas he tenido ese problema pero ahora me sorprendió, lo peor de todo es que yo compre un pantalon Boot cut y recibi un straight"
